gene	DAY0_rep1	DAY0_rep2	DAY0_rep3	DAY4_rep1	DAY4_rep2	DAY4_rep3	DAY7_rep1	DAY7_rep2	DAY7_rep3	EARLY_DAY10_rep1	EARLY_DAY10_rep2	EARLY_DAY10_rep3	LATE_DAY10_rep1	LATE_DAY10_rep2	LATE_DAY10_rep3	DAY14_rep1	DAY14_rep2	DAY14_rep3	DAY21_rep1	DAY21_rep2	DAY21_rep3
Lipo3	805	704	734	645	661	647	659	598	674	663	789	719	279	264	317	318	312	257	243	356	311
Lipo2	61	54	55	38	51	49	57	40	49	56	47	43	17	19	22	26	38	34	34	18	19
Lipo1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lipf	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lipk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	0	0	0
Lipn	7	1	6	5	0	0	0	0	5	0	1	0	1	1	2	0	0	0	0	0	1
Lipm	0	0	0	2	1	0	0	2	1	1	2	2	0	0	0	0	0	0	0	0	0
Ankrd22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Stambpl1	1043	850	964	435	497	483	491	370	450	486	514	515	204	188	210	238	213	167	235	156	308
Acta2	70617	65870	66554	13522	14801	15508	14707	12854	14303	19017	21585	20097	8542	7500	7993	16659	13067	8487	12011	10538	11911
Fas	459	388	389	315	306	323	274	227	250	194	239	201	88	82	81	146	115	117	94	71	127
Ch25h	39	35	55	40	41	57	15	9	14	20	54	34	10	10	24	22	22	10	16	13	13
Lipa	3554	3316	3284	2212	2233	2205	2078	1918	2310	2224	2564	2293	872	1098	851	730	1029	566	716	637	748
Ifit2	1006	840	807	316	290	284	328	304	327	617	693	574	201	312	241	198	234	205	238	123	185
Ifit3	196	138	135	27	24	27	47	42	60	47	42	44	18	24	14	7	9	3	14	2	6
Ifit1bl1	4	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0
Ifit3b	63	51	46	8	5	5	8	1	7	8	10	16	11	1	5	1	2	2	3	2	0
Ifit1bl2	4	0	3	1	2	1	1	2	0	2	1	2	1	0	0	0	0	1	1	0	0
Ifit1	94	70	73	23	26	23	17	19	22	25	37	34	11	18	12	3	5	1	9	3	1
Slc16a12	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	113	0
Pank1	696	683	668	600	623	641	652	669	752	926	1105	985	304	495	408	334	313	328	430	270	607
Mir107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kif20b	1031	845	890	345	363	341	458	437	525	1204	1427	1163	606	483	402	1531	458	1213	931	1388	1103
Mir1950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Htr7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rpp30	597	537	524	373	368	397	403	379	409	454	536	523	203	211	186	242	309	260	269	262	263
Ankrd1	774	741	714	71	68	74	61	54	54	68	78	77	33	33	24	51	62	19	40	46	46
Pcgf5	1478	1266	1187	625	700	656	587	622	797	759	845	720	283	335	307	425	374	260	338	286	328
Hectd2	125	131	122	267	274	237	334	355	362	298	345	308	117	120	141	204	180	229	204	179	214
Hectd2os	1	1	1	0	2	1	2	1	1	2	1	1	0	0	0	15432	7985	5294	1	0	0
Ppp1r3c	22	10	15	23	20	25	55	56	69	40	58	54	21	11	28	72	38	20	18	10	31
Tnks2	9424	8489	8630	8765	8559	8498	8525	8102	9216	8026	8936	8053	3242	3167	3517	3979	3892	3678	4421	3815	4352
Fgfbp3	219	193	226	129	157	159	123	101	120	121	120	105	45	35	58	71	73	53	52	55	67
Btaf1	3261	2959	2989	2527	2602	2395	2187	2077	2358	2376	2761	2422	785	1087	1149	1367	1171	983	1406	996	1281
Cpeb3	478	402	411	459	363	465	402	394	507	322	337	339	140	140	117	182	197	93	164	207	221
March5	4418	4084	3967	2912	3216	3182	2850	2776	3216	2740	3082	2685	1119	1213	1044	1315	1456	1145	1330	1241	1392
Ide	4585	4127	3978	3240	3516	3221	3352	3019	3549	3551	4227	3745	1251	1871	1485	1368	1735	1236	1804	1690	1792
Kif11	1880	1689	1707	546	513	542	866	807	882	2160	2626	2273	798	875	1123	3143	1541	2929	3972	2797	2704
Hhex	115	116	120	66	82	88	29	35	46	46	60	56	12	29	25	24	21	17	10	19	22
Exoc6	441	430	432	369	324	360	329	270	345	402	450	410	167	176	159	133	249	156	202	186	163
Cyp26c1	9	7	8	8	6	4	11	3	6	10	13	5	3	5	4	2	4	0	0	2	1
Cyp26a1	18	15	10	15	10	18	6	10	9	10	14	12	2	5	9	4	5	2	2	6	3
Myof	13144	11935	11636	8399	8330	8530	6908	6701	7832	8951	11292	9790	2781	4651	4625	3063	3111	3110	3616	2924	3849
Cep55	337	302	286	108	108	113	176	159	160	462	581	494	118	331	167	955	426	660	768	396	641
Ffar4	0	0	0	0	0	0	1	41	1	0	0	0	1	0	0	0	1	0	0	1	0
Rbp4	0	1	1	40	40	0	1	1	1	0	0	0	0	1	0	1	1	0	0	0	0
Pde6c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fra10ac1	712	638	679	518	547	494	460	412	503	481	546	479	202	190	204	239	301	178	226	205	280
Lgi1	1	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	944	0	2079
Slc35g1	34	24	23	34	28	27	46	33	43	56	51	51	28	17	17	26	28	17	31	14	33
Plce1	49	44	57	85	78	81	69	59	170	69	56	76	23	42	18	26	104	29	43	44	44
Noc3l	1814	1755	1674	1155	1156	1119	985	926	1087	1078	1343	1137	411	513	490	649	648	458	664	577	826
Tbc1d12	1182	1014	1023	960	886	980	970	954	1059	1038	1197	1021	367	416	513	559	458	525	628	436	578
Hells	2076	1974	1887	512	549	461	597	464	618	1254	1673	1460	622	335	787	738	435	786	560	753	720
Cyp2c55	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5053	0	0	0	0	0
Cyp2c65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2c66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2c29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2c38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2c39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Cyp2c67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2c68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2c40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Cyp2c69	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2c37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2c54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2c50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Cyp2c70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pdlim1	2094	1801	1752	1555	1480	1512	2430	2147	2535	2295	2459	2335	839	939	1047	997	1026	793	1116	1332	1575
Sorbs1	1451	1251	1252	1063	1035	965	1036	1008	1236	905	1107	916	323	465	378	820	449	540	661	517	679
Aldh18a1	11926	10649	10959	11229	12914	12181	8932	8354	10068	4924	5324	4978	1707	2339	2042	3712	2432	2091	3544	2679	3439
Tctn3	463	376	389	418	468	440	418	423	461	396	447	408	133	172	195	227	194	148	207	202	253
Entpd1	0	105	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1
Cc2d2b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccnj	292	264	250	216	215	214	183	166	194	175	209	199	52	98	85	89	92	71	91	90	83
Mir8092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp518a	632	518	575	497	527	587	436	376	506	459	571	503	174	125	318	174	284	195	289	231	284
